from	to	sign
UGR	UGR	a
NR5A1	UGR	i
WNT4	UGR	i
UGR	CBX2	a
CTNNB1	CBX2	i
NR0B1	CBX2	i
WNT4	CBX2	i
UGR	GATA4	a
SRY	GATA4	a
NR5A1	GATA4	a
WNT4	GATA4	a
UGR	WT1mKTS	a
GATA4	WT1mKTS	a
UGR	WT1pKTS	a
GATA4	WT1pKTS	a
CTNNB1	WT1pKTS	i
WNT4	WT1pKTS	i
UGR	NR5A1	a
CBX2	NR5A1	a
GATA4	NR5A1	a
WT1mKTS	NR5A1	a
NR0B1	NR5A1	i
WNT4	NR5A1	i
WT1mKTS	NR0B1	a
NR5A1	NR0B1	i
SOX9	NR0B1	i
WNT4	NR0B1	a
CTNNB1	NR0B1	a
CBX2	SRY	a
GATA4	SRY	a
WT1mKTS	SRY	a
WT1pKTS	SRY	a
NR5A1	SRY	a
SRY	SRY	a
SOX9	SRY	a
CTNNB1	SRY	i
SRY	SOX9	a
SOX9	SOX9	a
FGF9	SOX9	a
PGD2	SOX9	a
WNT4	SOX9	i
FOXL2	SOX9	i
CTNNB1	SOX9	i
SOX9	FGF9	a
WNT4	FGF9	i
SOX9	PGD2	a
SOX9	DMRT1	a
FOXL2	DMRT1	i
SRY	DMRT1	a
SOX9	DHH	a
SOX9	DKK1	a
SRY	DKK1	a
GATA4	AMH	a
NR5A1	AMH	a
NR0B1	AMH	i
SOX9	AMH	a
CTNNB1	AMH	i
GATA4	WNT4	a
NR0B1	WNT4	a
FGF9	WNT4	i
DKK1	WNT4	i
RSPO1	WNT4	a
CTNNB1	WNT4	a
CTNNB1	RSPO1	a
DKK1	RSPO1	i
WNT4	RSPO1	a
SOX9	FOXL2	i
CTNNB1	FOXL2	a
DMRT1	FOXL2	i
WNT4	FOXL2	a
SRY	CTNNB1	i
SOX9	CTNNB1	i
AMH	CTNNB1	i
WNT4	CTNNB1	a
RSPO1	CTNNB1	a
