from	to	sign
TCR	NFAT	a
IL18R	IRAK	a
IFNbR	STAT1	a
JAK1	STAT1	a
IL10	IL10R	a
IL12	IL12R	a
STAT6	IL18R	i
IL18	IL18R	a
IFNg	IFNgR	a
NFAT	IFNg	a
IRAK	IFNg	a
STAT4	IFNg	a
STAT3	IFNg	i
Tbet	IFNg	a
IL12R	STAT4	a
GATA3	STAT4	i
GATA3	IL10	a
IL10R	STAT3	a
IFNb	IFNbR	a
STAT1	IL4	i
GATA3	IL4	a
IL4	IL4R	a
SOCS1	IL4R	i
GATA3	GATA3	a
STAT6	GATA3	a
Tbet	GATA3	i
IL4R	STAT6	a
STAT1	SOCS1	a
Tbet	SOCS1	a
IFNgR	JAK1	a
SOCS1	JAK1	i
STAT1	Tbet	a
GATA3	Tbet	i
Tbet	Tbet	a
