from	to	sign
Fgf8_p	Fgf8_g	a
Emx2_p	Fgf8_g	i
Sp8_p	Fgf8_g	a
Fgf8_g	Fgf8_p	a
Fgf8_p	Emx2_g	i
Pax6_p	Emx2_g	i
Sp8_p	Emx2_g	i
Coup_tfi_p	Emx2_g	a
Emx2_g	Emx2_p	a
Sp8_p	Pax6_g	a
Emx2_p	Pax6_g	i
Coup_tfi_p	Pax6_g	i
Pax6_g	Pax6_p	a
Fgf8_p	Coup_tfi_g	i
Sp8_p	Coup_tfi_g	i
Coup_tfi_g	Coup_tfi_p	a
Fgf8_p	Sp8_g	a
Emx2_p	Sp8_g	i
Sp8_g	Sp8_p	a
