from	to	sign
BRCA1	EGFR	i
EGFR	ERK1/2	a
EGFR	PI3K	a
PTEN	PI3K	i
PI3K	AKT	a
AKT	GSK3_beta	i
AKT	MDM2	a
TP53	MDM2	a
PARP1	TP53	i
BRCA1	TP53	a
MDM2	TP53	i
TP53	PTEN	a
ERK1/2	PARP1	a
CYCD1	BRCA1	i
AKT	BCL_2	a
PARP1	CYCD1	a
ERK1/2	CYCD1	a
GSK3_beta	CYCD1	i
BRCA1	CYCD1	i
BCL_2	BAX	i
TP53	BAX	a
