from	to	sign
AG	AG	a
AP1	AG	i
AP2	AG	i
EMF1	AG	i
LFY	AG	a
SEP	AG	a
TFL1	AG	i
WUS	AG	a
AG	AP1	i
AP3	AP1	i
FT	AP1	a
LFY	AP1	a
PI	AP1	i
TFL1	AP1	i
TFL1	AP2	i
AG	AP3	a
AP1	AP3	a
AP3	AP3	a
LFY	AP3	a
PI	AP3	a
SEP	AP3	a
UFO	AP3	a
LFY	EMF1	i
EMF1	FT	i
AP1	FUL	i
TFL1	FUL	i
TFL1	LFY	i
EMF1	LFY	i
AG	PI	a
AP1	PI	a
AP3	PI	a
LFY	PI	a
PI	PI	a
SEP	PI	a
LFY	SEP	a
AP1	TFL1	i
EMF1	TFL1	a
LFY	TFL1	i
AG	WUS	i
SEP	WUS	i
WUS	WUS	a
UFO	UFO	a
