models	g_density	avg_indeg	avg_transient_length	Z_max	Z_min	Z_avg	Z_mid	net_sen
sullivan	0.953125	21.3333333333333	3.18365778688525	0.490234375	0.286458333333333	0.418511284722222	0.388346354166667	1.05729166666667
cortical	0.78125	4.57142857142857	6.125	0.6625	0.6625	0.6625	0.6625	0.9
buylla	0.8984375	9.84615384615385	3.29782608695652	0.590277777777778	0.548611111111111	0.582841435185185	0.569444444444444	0.826388888888889
cardiac	0.978515625	46.5454545454545	3.70508982035928	0.6484375	0.527901785714286	0.609620801445578	0.588169642857143	0.990625
