from	to	sign
miR_34	SNAI1	i
ZEB1	SNAI1	a
ZEB1_H	SNAI1	a
miR_200	LEF1	i
ZEB1	LEF1	a
ZEB1_H	LEF1	a
SNAI1	Twist	a
miR_34	Twist	i
LEF1	SNAI2	a
Twist	SNAI2	a
SNAI2	SNAI2	a
N_bcatenin_H	SNAI2	a
miR_200	ZEB1	i
SNAI2	ZEB1	a
b_catenin_TCF4	ZEB1	a
miR_34	N_bcatenin_H	i
miR_200	N_bcatenin_H	i
LEF1	ZEB1_H	a
SNAI2	ZEB1_H	a
ZEB1	ZEB1_H	a
N_bcatenin_H	ZEB1_H	a
miR_200	ZEB1_H	i
SNAI1	b_catenin_TCF4	a
SNAI2	b_catenin_TCF4	a
N_bcatenin_H	b_catenin_TCF4	a
SNAI1	miR_34	i
ZEB1	miR_34	i
ZEB1_H	miR_34	i
SNAI1	miR_200	i
Twist	miR_200	i
ZEB1	miR_200	i
ZEB1_H	miR_200	i
miR_200	miR_200	a
SNAI1	Ecadherin_mRNA	i
Twist	Ecadherin_mRNA	i
SNAI2	Ecadherin_mRNA	i
ZEB1	Ecadherin_mRNA	i
ZEB1_H	Ecadherin_mRNA	i
miR_200	TGFb_secr	i
b_catenin_TCF4	TGFb_secr	a
