Node_num	Node_name	k	EF	scEUF	scRoF	scNCF
0	AG	8	approx	approx	exact	exact
1	AP1	6	approx	exact	exact	exact
2	AP2	1	exact	exact	exact	exact
3	AP3	7	approx	approx	exact	exact
4	EMF1	1	exact	exact	exact	exact
5	FT	1	exact	exact	exact	exact
6	FUL	2	exact	exact	exact	exact
7	LFY	2	exact	exact	exact	exact
8	PI	6	approx	exact	exact	exact
9	SEP	1	exact	exact	exact	exact
10	TFL1	3	exact	exact	exact	exact
11	UFO	1	exact	exact	exact	exact
12	WUS	3	exact	exact	exact	exact
