Node_num	Node_name	k	EF	scEUF	scRoF	scNCF
0	SCR	4	exact	exact	exact	exact
1	PLT	1	exact	exact	exact	exact
2	ARF	1	exact	exact	exact	exact
3	AUXIAA	1	exact	exact	exact	exact
4	AUXIN	1	exact	exact	exact	exact
5	SHR	1	exact	exact	exact	exact
6	JKD	2	exact	exact	exact	exact
7	MGP	3	exact	exact	exact	exact
8	WOX5	5	approx	exact	exact	exact
