Node_num	Node_name	k	EF	scEUF	scRoF	scNCF
0	GATA_2	4	exact	exact	exact	exact
1	GATA_1	4	exact	exact	exact	exact
2	FOG_1	1	exact	exact	exact	exact
3	EKLF	2	exact	exact	exact	exact
4	Fli_1	2	exact	exact	exact	exact
5	SCL	2	exact	exact	exact	exact
6	C/EBP_alpha	4	exact	exact	exact	exact
7	PU_1	4	exact	exact	exact	exact
8	cJun	2	exact	exact	exact	exact
9	EgrNab	3	exact	exact	exact	exact
10	Gfi_1	2	exact	exact	exact	exact
