Node_num	Node_name	k	EF	scEUF	scRoF	scNCF
0	SNAI1	3	exact	exact	exact	exact
1	LEF1	3	exact	exact	exact	exact
2	Twist	2	exact	exact	exact	exact
3	SNAI2	4	exact	exact	exact	exact
4	ZEB1	3	exact	exact	exact	exact
5	N_bcatenin_H	2	exact	exact	exact	exact
6	ZEB1_H	5	approx	exact	exact	exact
7	b_catenin_TCF4	3	exact	exact	exact	exact
8	miR_34	3	exact	exact	exact	exact
9	miR_200	5	approx	exact	exact	exact
10	Ecadherin_mRNA	5	approx	exact	exact	exact
11	TGFb_secr	2	exact	exact	exact	exact
