BF	No_of_unique_perms
00000010000010100000001100001111	60
00110010111111111111101011111111	30
11001100110011000100110011001100	20
11111111111011101111000011100000	10
00010001001100111111000111110011	60
00110011000000001111011111110101	120
11001111111111111000101011111111	60
11111010111111111111111011111111	60
11001111110011001110111111101110	60
00110011001100110011001101110011	20
11110000111100000111000000000000	60
00010001000100010101010100010101	120
00000000000000000000000011010000	60
11111111011100001111111111110000	20
01010101000000000101010100010000	60
11111100111111111111111011111111	60
11110011011100111111001100110011	120
11001100000000001100110000000100	20
00110010111111110010001011111111	60
00000000000000000000000010001010	60
00000000000011110000110100001111	120
00010101000101011111111100010101	60
11110011111110111111001111110011	60
00001100010011000000110011001100	60
10001000100010001000000010001000	30
01010101010101011111011101010101	120
11010101110101011101010111000000	30
11110111111111110111011111111111	10
11111111011100111111111111110011	60
11001100110011000100010000000100	120
00000001111111110000000011111111	20
00000100000001000000010100000100	60
11001100111011101100111111101111	60
00000000000000000001000100010101	30
00010001010101010001000001010101	60
11101111111111111010101010101010	60
11110000111111111110000011101110	20
11111111111111110000111110001111	60
10101010111111111000101011111111	60
11111111111111110000000010111111	60
01110101000000001111111100000000	60
11110101000000000111010100000000	120
00000000000000000000010000001100	30
01010101111111111111011111111111	60
11110011111110110000000000000000	120
00001010000011110011101100111111	60
00100011001100110000001100000011	120
00000000111111111000111111111111	60
01010101000100000101010101010000	60
11111010111111101111101011111111	60
10100000101010001010100010101000	60
11111111001110110011001100110011	120
01111111010111110000111100001111	120
10111011101010111111111111111111	120
00110010000000000011001100110011	60
00000000100011111111111111111111	60
00100000000000000010000000100000	60
10100000000000001110110000000000	60
10000000100000001000000000000000	10
00001111000011111110111100001111	60
00010000000000000101010101010101	60
11111011000000001111001100000000	60
11111100111100001101110001010000	60
11111111111111101111111111101110	10
11111111111111111111111101110101	60
10000000111100001010000011110000	120
00000000000000000100010011110100	60
11111111111010101111111111101110	60
11111111101010101110111110101010	60
11110000111100111111000011110111	60
01010001111111110101000101010001	120
11111111111111110000111011111111	60
11001100110011001100110011101111	60
00000000000000000011001110111111	120
11111111011100110101000001010000	120
11011111111111110101010111111111	60
00000100000000001100110011001100	60
00000000000000001111111110111111	30
11100000111111111111111111111111	30
00110010001100000000000000000000	60
11001100110011001111111011111111	60
01010101010100000111011101110011	30
01010101111101111111011111110111	60
01010100010101011111111111111111	60
11111111101000101111111111110011	60
11001110110011000000000000000000	60
00000000000000001010111110001111	60
11111111010111011111111111011101	60
11111111111111111100111101001111	120
00000000111111110010001111111111	60
11111100111100001110110010100000	30
11111011111110101111101111111011	60
00001111010111110000110001011101	30
11111111001110111111111100000000	120
10001000100010101000100010101010	60
00001010100010101000101010001010	60
10001100110011000000110000001100	120
11001100110000001100110001000000	120
01010100010001000101010101000100	120
10001010101010100000000000000000	30
00000011010101110101011101010111	30
00110000001100000011000100110011	60
11111111010101111111111100000011	60
10111011101100001011101100000000	60
00000000011100000000000011111111	60
10101111101011111010101010101011	60
11110000111110101111000011110010	120
11110000000000001111111000000000	60
11111111000011110100111100001111	120
01011111010101110101111101011111	60
11111101110111010000000000000000	60
11000100010001000100010001000100	20
11101100111011101100110011101110	60
11110000111101001111010111110101	120
11110000001100001111000001110000	60
11110011001100111010001000100010	30
00001010000000000000101100000011	30
01110011001100110000000000000000	60
11110111111101111111011100000000	30
10101010101010101010111011111111	120
00010000000000000101000000000000	30
00001010001110110000000000000000	60
00000000000000001111111111110001	30
11011111110011000000000000000000	60
11111111111111110000000100010001	30
11110000111100001111111111110001	60
00110010001100000011001100110000	120
00000000000000000000010001000100	30
00000000000011011111111111111111	60
00000000100000001111111111111111	20
11111111111111110011001111110111	120
10101011000000000000001100000000	30
01111111001111110011001100110011	120
11111111111111111111110011111101	10
10101010101010101000100010101000	60
00000000110111010000000011111101	120
11111111010001001111111101010100	120
01010100000000001111111111111111	60
00000000111100010000000000000000	60
11110000111110001111000011111100	120
00001010000000100000000000000000	60
00001111000011110001111101011111	30
00001111110111110000111100001111	120
11110101111100010000000000000000	120
00000000011111110000000000111111	60
11000000111010101100000011111111	60
11111111000000001101010100000000	60
01011111000000000101111101001100	60
01010101010111110101011101011111	60
11111011001100111011101100110011	60
10000000000000001100000000000000	20
11101100111111111110111011111111	120
00000001000000000101010101010101	60
11110111111111110000000011111111	60
01010101010101110101010101011111	30
01110111000000001111011111110000	60
00000000000000000000000000001000	10
10101011111111111011101111111111	60
10000000101010101010101010101010	30
00110011000100000011001100110000	60
10111111001111110011001100110011	60
00110111001100110011001100110011	30
00110011111100111011001111110011	120
01010101000000000101011100000000	20
00000000010001000000010101000101	60
00100010111100100010001000100010	60
00001111111111110000110111111111	60
11010000110000001111111111111111	120
00110011001100111111101110111011	60
00101010001010100000000000101010	60
01010101010100001101110111010000	60
00110011001100110011001110111111	60
00110011101110110011001110111111	60
11001000110011001000100011001100	60
00000001000000010101010100000001	60
00010001000111110000000000000000	15
00000000010011001100110011001100	60
00000101000000011111111100110011	60
01011111010111010000111100001100	60
11111010111110111111000011110011	30
11111101111111111100110011111111	120
00001011000000000000101100001011	60
11110001111111110001000100010001	60
00001100110011000000100010001000	30
11110101111101011111010011110000	60
10001000110011001010100011111100	120
10101010101010101010111010101111	60
01111111000000000011111100000000	60
00110000111100000001000011110000	120
00001111000011001010111110001100	60
11111111000000001111111110111111	60
11110111111111111111000011110000	20
00101010101010100000000000000000	10
11001100110011001100110111001111	30
11110000111100101111001011110010	60
11111111011111111111111100111111	60
00001100000001001100110011001100	120
11111100111111001111111011111111	60
11111111001111111111111100111011	60
11111010111100101111101011111010	60
00000000000000000000001011111111	60
11011101110111010101110101010101	120
00101111001011110010111100001111	60
10001010000010100000101000001010	20
00010001001100110000000100000011	60
00110111000000001111111100000000	30
00001010001110110011101100111011	60
11111111111110101111111110111010	60
00000000000000000111010100000000	120
11111011101110111011101110111011	20
11011111010101010101111101010101	60
11110111111101010000000000000000	120
00010000000100000011000000010000	120
00110111011101110011001101110111	120
10111111111111110011001100110011	60
10101010111110101000100011001000	60
00010101000001010011111100001111	60
01010101000100010101111100010011	60
11101111111011111110111011101111	60
00111111111111110011101111111111	30
11111111010111010101110101011101	60
00111111001111111111111101111111	60
00110000000100000011001100110011	120
00001111100011110000111111001111	120
00010000000100000101000000010000	120
10101010101010101111111110101011	60
00100010001000100010001010100010	60
00001000000010001111111100001000	60
10111011000010111011101100000000	120
11000000110010000000000000000000	60
11111110111111001111000011110000	60
11001100110111011100000011010101	30
01010111010101110000000001010111	60
11011101110111010000110111011101	60
01010101010101010111111101010101	60
11001111110011110100111111001111	60
00000000101010101000000010101010	60
11001111100011111100111100001111	60
11111111111101011101110111010101	15
11111111110010001111111110001000	60
00000000000000000100111100000000	120
11010101111111110101010111111111	10
00000100000001000000010000001100	60
10110000111100000011000000110000	120
10100000101010101011001110111011	60
00110011001100111111101111110011	60
01110111000000000111011101110000	60
11111011111110111111001111111011	120
11110100000000000100010000000000	60
01001100000011000100110001001100	120
00000000010000000000000011001100	120
00111011000010100000000000000000	60
00001111000011110000100000001010	120
00000000000011110000000010111111	120
00001111000011000101111101001100	30
11110010111100111111111111111111	120
00011111010111110001000101010101	60
11111111111111110000000100000000	20
00000000101010100000000011111011	120
00000000100010000000101010001010	60
10101010100010101010101000001010	60
11111111100000001111111111111111	20
01010000111100000101000011010000	60
11111111111011001111111110100000	15
00100010001000110011001100110011	60
11001100000000001000000000000000	30
