BF	No_of_unique_perms
11101111111011110000000000001100	120
00001111000000000111111101010101	120
11110100111101001111000011010000	60
00000000101000001000000010101010	120
11000100110111011101010111111101	120
01000101111111110000010001001101	120
00110001000100000111010100010001	120
00110011001100110010000000100010	120
11100000111010001111101011111110	120
00110001011100010111001101110011	120
11001101111111110000010001011111	60
00010101011101110000000100110111	60
11110001011100011111010111110001	120
00110011001000110010001100000000	60
10001000000010001010101010001010	120
00000011101110110000000000000000	120
01110111111101110000000011110001	60
11101000111000001110110011101100	120
01011111010011000000111100000100	120
10111011001000001111111100100010	120
00001111000111110101111111111111	60
00000100000000001101110100001101	60
00000000001111110000001101111111	60
10001110110011110000100000001100	60
00000000000100110000001100111111	30
00100010101111110010101111111111	60
11101000110000001100000000000000	30
01010111000101010101111101011111	120
00110000011101110011000000110001	120
11011101010101001101110111010100	120
11111101110100001111111111110100	30
00110011000000111011101100100011	120
01000100010111010101110111111111	60
11110011111110110011001110111011	60
01110011000000001111111111111111	120
00001011000010101111111111111111	120
10001110111011110000000010101010	120
11101111101011101000100000001000	120
00100010001000001011001010110010	120
00000000010011011100111111011111	120
11111000110000001010100000000000	60
11011101111111111100110111001101	120
10101000100000001110100010001000	60
11011101000000001111111111111100	120
11110101011100000111000001110000	60
00000000101100100011001111111011	30
00010000001100111111010111110111	120
01011111010011001111111101011111	60
11111111111111011101010111010100	60
00010101000000010001011100000001	60
10111111001111110000001100000011	30
11000000110000001110100011101110	120
10001100111011100000000011101110	120
00000000110001000100010011110101	120
00001100110011001000110011001110	60
01000000111111000100000011111101	60
11110100110100001101010000000000	120
11101110111111111000110010101111	60
01000100000000001101110100001101	120
10001010111111111000100010001010	120
01110111011100010101000000000000	60
00000000010011011101110111011111	120
01010000111101000000000011110100	120
01010101110111110000010001011101	120
11111010100000001111111011110000	120
00000010000000100000001000101111	60
01000101010011010100010111001101	120
11001111010011010000110100000101	60
00001101000001010000111100001111	30
11111110111110001000000010000000	60
01010100010100001111111111110100	120
11111111110111011111110011010000	30
01000101010001000101010101000100	60
00000000111110001111110011111110	120
10101110100010101000101000000000	60
10111011001100111010101000000010	120
11111111111111111101110101000101	60
00101011111111110000000011111111	60
10110010111100101011000010110010	120
10111111001111110011001100000000	120
11010100110100001111111111110101	120
11110000111110101010000011111000	120
00101111001011111011111110101111	60
00011111011111110001000101010101	60
01000000111111011111110111111101	30
00000000100011101000110010001110	120
00101111001000110010111100000010	120
10001100000000001110111100001010	120
10101110100011101110111010001110	120
11000100110101011111010011111101	120
00110011001110110000001000001011	120
00110000111100111011101011111011	60
00000001000000010011111100011111	120
00001010000010001110111000001010	120
10001000100010101000110011001111	60
10101010000000000010000000000000	60
01000101010001001101110111011101	120
01001111110111110100010001011101	120
11111011101110110011001100110010	60
10111111101110110010101100001010	60
11111111000011111100111000001100	60
00001010111111110000101011101111	60
10101010101010100000101010001010	120
11111111010011011111111101000100	120
00110011000000111111111110101111	120
01110111011111110000010101011111	60
11111111000000110000101100000000	120
11001100111111010100000011111100	120
00001100100011111000110011101111	120
00000011000000101010111100001011	60
10001000111111101000100011101010	60
00000000111111001000100011111100	120
11111110111011101111111111111111	30
11111110111010101111101011100000	60
11101010111111111100100011101000	120
01111111000100010111111101011111	120
11101110100010101111111110101010	120
11101111111011111100111100001100	120
11111111010101010001000100010000	120
11110000000000001111111100010000	60
11110100110100001101000011000000	60
11110101011101011111111111111111	60
11110000111101001101000011110000	30
11011111010001010101111100000100	60
00001101000000000101110100000100	120
10111011101100110010000000100000	120
01011101010011010100110101000100	60
11111100111111011101000011010100	60
00000000001000100000001110111111	120
10100010111100100000000000000000	60
11001111010011001101111111001100	60
11111111111111110000101010001111	120
00000001001111110101111101111111	60
11111111111111110010001011110011	60
00011111111111110000010100000111	120
01110000111111110011000011110101	120
10100000100000001111111010101000	120
01001101000011010100010000000000	120
00000100010111010000000000001101	60
11111111110111011101010001000100	120
10001000100000001010101010000000	120
11111110111110001010101000000000	60
00100010111100111011001111111011	120
11101111100010001100111000001000	120
00100010001100101111001111111111	120
00001010001110110000000000101010	120
00100000101000100011000011111111	120
10100010000000001111101011110010	120
00011111000001010011111100000111	120
00010001000000011111111100000011	120
00000101010011110100010111001111	60
11011111000001011101111100000100	60
01010101111101110000000011110111	120
10111010001000001011101110111010	120
11110101110101001111110111110101	60
00000000010011111100111111011111	120
11111101110101011101010000000000	60
00000001111111110000011111111111	20
10101010100010101110111110001111	60
00000000111010001100000011101000	60
11111111110011101100111010001110	60
11111111110111001111111101010000	60
11111111111111111111000011111110	30
10101110111111111000110011001100	120
01010111000001010000001100000000	120
11011101110101011100010001000100	60
11001111000011111101111101011111	30
01011101000001011111111101011111	60
00110001000100010000000000000000	60
00000000100010000000100011001100	120
11111111001100101011101000000000	120
10001110100011110000110000001111	60
01010100111111010100000011011100	60
10111111001011111011111100001010	120
00111011101110110000101000111011	120
00001100111011110000000000001110	120
00001111111011110000101011101110	60
00000101000001000100110101001100	60
10001111111111110000101011001111	60
10110010101110111010001010101010	120
11111111101011111010111010001100	120
01001100110111110000000001000101	120
00010000001100001111000011110101	60
