from	to	sign
GATA_2	GATA_2	a
GATA_1	GATA_2	i
FOG_1	GATA_2	i
PU_1	GATA_2	i
GATA_2	GATA_1	a
GATA_1	GATA_1	a
Fli_1	GATA_1	a
PU_1	GATA_1	i
GATA_1	FOG_1	a
GATA_1	EKLF	a
Fli_1	EKLF	i
GATA_1	Fli_1	a
EKLF	Fli_1	i
GATA_1	SCL	a
PU_1	SCL	i
GATA_1	C/EBP_alpha	i
FOG_1	C/EBP_alpha	i
SCL	C/EBP_alpha	i
C/EBP_alpha	C/EBP_alpha	a
GATA_2	PU_1	i
GATA_1	PU_1	i
C/EBP_alpha	PU_1	a
PU_1	PU_1	a
Gfi_1	cJun	i
PU_1	cJun	a
cJun	EgrNab	a
Gfi_1	EgrNab	i
PU_1	EgrNab	a
EgrNab	Gfi_1	i
C/EBP_alpha	Gfi_1	a
