Node_num	EF	scEUF	scRoF	scNCF
0	3	1	1	1
1	1	1	1	1
2	52	7	6	6
3	54	7	6	6
4	2	2	2	2
5	52	2	2	2
6	-	6780	420	286
7	2	1	1	1
8	-	-	15976	6363
9	1	1	1	1
10	-	7190326	3648	1735
11	1	1	1	1
12	1	1	1	1
13	1	1	1	1
14	1	1	1	1
Total	-	-	3524801495040	454663329120
Sampled	True	True	True	True
