Node_num	EF	scEUF	scRoF	scNCF
0	1	1	1	1
1	1	1	1	1
2	2	2	2	2
3	1	1	1	1
4	1	1	1	1
5	3	1	1	1
6	54	7	6	6
7	1	1	1	1
8	1	1	1	1
9	1	1	1	1
10	1	1	1	1
11	2	2	2	2
12	16148	114	52	46
Total	10463904	3192	1248	1104
Sampled	True	False	False	False
