Node_num	EF	scEUF	scRoF	scNCF
0	55	9	8	8
1	1	1	1	1
2	16148	114	52	46
3	1	1	1	1
4	55	9	8	8
5	1	1	1	1
6	2	2	2	2
7	1	1	1	1
8	2	2	2	2
9	1	1	1	1
Total	195390800	36936	13312	11776
Sampled	True	False	False	False
