Node_num	EF	scEUF	scRoF	scNCF
0	4010	50	20	17
1	1	1	1	1
2	1	1	1	1
3	1	1	1	1
4	1	1	1	1
5	1	1	1	1
6	1	1	1	1
7	14	1	1	1
8	-	732	94	75
Total	-	36600	1880	1275
Sampled	True	False	False	False
