Node_num	EF	scEUF	scRoF	scNCF
0	-	-	324888	66042
1	-	274247	380	178
2	1	1	1	1
3	-	-	9018	2920
4	1	1	1	1
5	1	1	1	1
6	2	1	1	1
7	2	2	2	2
8	-	3500117	1436	627
9	1	1	1	1
10	26	7	6	6
11	1	1	1	1
12	13	2	2	2
Total	-	-	38370121979258880	516537496316160
Sampled	True	True	True	True
