Node_num	EF	scEUF	scRoF	scNCF
0	55	6	5	5
1	16148	9	8	8
2	16148	7	6	6
3	5	1	1	1
4	16146	96	36	30
5	-	6609378	2736	1260
6	-	6780	420	286
7	-	-	1032456	239279
8	-	-	78416	29024
9	2	2	2	2
10	1	1	1	1
11	55	9	8	8
12	1	1	1	1
13	2	2	2	2
14	-	6780	420	286
15	-	7778168	5032	2542
16	55	9	8	8
17	16148	114	52	46
18	-	6894	472	332
Total	-	-	10674083454498186062566206210048000	51216321749178578653767794688000
Sampled	True	True	True	True
