from	to	sign
Snai2	Snai2	a
ESE2	Snai2	i
NFkB	Snai2	a
Snai2	ESE2	i
ESE2	ESE2	a
NFkB	ESE2	i
Snai2	p16	i
p16	p16	a
E2F	p16	a
TELasa	p16	i
p53	p16	a
p53	E2F	i
Snai2	E2F	i
Rb	E2F	i
Snai2	Cyclin	i
ESE2	Cyclin	i
p16	Cyclin	i
NFkB	Cyclin	a
ESE2	TELasa	i
Snai2	NFkB	a
ESE2	NFkB	a
p16	NFkB	a
NFkB	NFkB	a
p53	Rb	a
p16	Rb	a
Cyclin	Rb	a
Snai2	p53	i
p16	p53	a
TELasa	p53	i
NFkB	p53	i
