Sr No.	Node name	k	EF	EUF	RoF	NCF
1	AG	8	-	-	324888	66042
2	AP1	6	-	274247	380	178
3	AP2	1	1	1	1	1
4	AP3	7	-	-	9018	2920
5	EMF1	1	1	1	1	1
6	FT	1	1	1	1	1
7	FUL	2	2	1	1	1
8	LFY	2	2	2	2	2
9	PI	6	-	3500117	1436	627
10	SEP	1	1	1	1	1
11	TFL1	3	26	7	6	6
12	UFO	1	1	1	1	1
13	WUS	3	13	2	2	2
Total			-	-	38370121979258880	516537496316160
Sampled			True	True	True	True
