BF	No_of_unique_perms
0000000000000001	1
0000000000000010	4
0000000000000100	4
0000000000000111	6
0000000000001000	6
0000000000001011	12
0000000000001101	12
0000000000001110	6
0000000000010000	4
0000000000010011	6
0000000000010101	6
0000000000010111	4
0000000000011111	12
0000000000100000	6
0000000000100011	12
0000000000101010	12
0000000000101011	12
0000000000101111	24
0000000000110001	12
0000000000110010	6
0000000000110111	12
0000000000111011	24
0000000001000000	6
0000000001000101	12
0000000001001100	12
0000000001001101	12
0000000001001111	24
0000000001010001	12
0000000001010100	6
0000000001010111	12
0000000001011101	24
0000000001110000	12
0000000001110001	12
0000000001110011	24
0000000001110101	24
0000000001111111	4
0000000010000000	4
0000000010001010	24
0000000010001100	24
0000000010001110	12
0000000010001111	12
0000000010100010	24
0000000010101000	12
0000000010101011	12
0000000010101110	24
0000000010110000	24
0000000010110010	12
0000000010110011	12
0000000010111010	24
0000000010111111	12
0000000011000100	24
0000000011001000	12
0000000011001101	12
0000000011001110	24
0000000011010000	24
0000000011010100	12
0000000011010101	12
0000000011011100	24
0000000011011111	12
0000000011100000	12
0000000011101000	4
0000000011101010	12
0000000011101100	12
0000000011101111	12
0000000011110001	12
0000000011110010	24
0000000011110100	24
0000000011110111	12
0000000011111000	12
0000000011111011	12
0000000011111101	12
0000000011111110	4
0000000100000000	4
0000000100000011	6
0000000100000101	6
0000000100000111	4
0000000100001111	12
0000000100010001	6
0000000100010011	4
0000000100010101	4
0000000100010111	1
0000000100011111	6
0000000100110011	12
0000000100110111	6
0000000100111111	12
0000000101010101	12
0000000101010111	6
0000000101011111	12
0000000101110111	12
0000000101111111	4
0000000111111111	4
0000001000000000	6
0000001000000011	12
0000001000001010	12
0000001000001011	12
0000001000001111	24
0000001000100010	12
0000001000100011	12
0000001000101010	4
0000001000101011	4
0000001000101111	12
0000001000110011	24
0000001000111011	12
0000001000111111	12
0000001010101010	12
0000001010101011	12
0000001010101111	24
0000001010111011	24
0000001010111111	12
0000001011111111	12
0000001100000001	12
0000001100000010	6
0000001100000111	12
0000001100001011	24
0000001100010011	12
0000001100010111	6
0000001100011111	12
0000001100100011	24
0000001100101011	12
0000001100101111	12
0000001100110111	12
0000001100111011	12
0000001101010111	3
0000001101011111	12
0000001101110111	12
0000001101111111	12
0000001110101011	12
0000001110101111	24
0000001110111011	24
0000001110111111	12
0000010000000000	6
0000010000000101	12
0000010000001100	12
0000010000001101	12
0000010000001111	24
0000010001000100	12
0000010001000101	12
0000010001001100	4
0000010001001101	4
0000010001001111	12
0000010001010101	24
0000010001011101	12
0000010001011111	12
0000010011001100	12
0000010011001101	12
0000010011001111	24
0000010011011101	24
0000010011011111	12
0000010011111111	12
0000010100000001	12
0000010100000100	6
0000010100000111	12
0000010100001101	24
0000010100010101	12
0000010100010111	6
0000010100011111	12
0000010100110111	3
0000010100111111	12
0000010101000101	24
0000010101001101	12
0000010101001111	12
0000010101010111	12
0000010101011101	12
0000010101110111	12
0000010101111111	12
0000010111001101	12
0000010111001111	24
0000010111011101	24
0000010111011111	12
0000011100000000	12
0000011100000001	12
0000011100000011	24
0000011100000101	24
0000011100001111	4
0000011100010111	12
0000011100011111	4
0000011100110111	12
0000011100111111	12
0000011101010111	12
0000011101011111	12
0000011101110111	3
0000011101111111	6
0000011111111111	12
0000100000000000	4
0000100000001010	24
0000100000001100	24
0000100000001110	12
0000100000001111	12
0000100010001000	6
0000100010001010	12
0000100010001100	12
0000100010001110	6
0000100010001111	6
0000100010101010	24
0000100010101110	24
0000100010101111	24
0000100011001100	24
0000100011001110	24
0000100011001111	24
0000100011101110	12
0000100011101111	12
0000100011111111	12
0000101000000010	24
0000101000001000	12
0000101000001011	12
0000101000001110	24
0000101000101010	12
0000101000101011	12
0000101000101111	24
0000101000111011	12
0000101000111111	24
0000101010001010	24
0000101010001110	24
0000101010001111	24
0000101010101011	12
0000101010101110	12
0000101010111011	24
0000101010111111	24
0000101011001110	12
0000101011001111	12
0000101011101110	24
0000101011101111	24
0000101100000000	24
0000101100000010	12
0000101100000011	12
0000101100001010	24
0000101100001111	12
0000101100101011	24
0000101100101111	12
0000101100111011	24
0000101100111111	12
0000101110101011	24
0000101110101111	24
0000101110111011	12
0000101110111111	12
0000101111111111	24
0000110000000100	24
0000110000001000	12
0000110000001101	12
0000110000001110	24
0000110001001100	12
0000110001001101	12
0000110001001111	24
0000110001011101	12
0000110001011111	24
0000110010001100	24
0000110010001110	24
0000110010001111	24
0000110010101110	12
0000110010101111	12
0000110011001101	12
0000110011001110	12
0000110011011101	24
0000110011011111	24
0000110011101110	24
0000110011101111	24
0000110100000000	24
0000110100000100	12
0000110100000101	12
0000110100001100	24
0000110100001111	12
0000110101001101	24
0000110101001111	12
0000110101011101	24
0000110101011111	12
0000110111001101	24
0000110111001111	24
0000110111011101	12
0000110111011111	12
